ลำดับ,ปี,เดือนรอบบิล,เขต/สังกัด,สถานี/หน่วยงาน,หมายเลขผู้ใช้ไฟ,ประเภทสถานี,ค่าไฟฟ้า (บาท/เดือน),จำนวนหน่วย (kWh/เดือน)
1,2566,มกราคม,สวท. (ส่วนกลาง),AM. 1000 Kw. หนองแค สระบุรี,20000726331,สถานี A.M.,"1,908,769.76",
2,2566,มกราคม,สวท. (ส่วนกลาง),สวท. (ส่วนกลาง),87060716,สถานี F.M.,"1,264,975.60","229,000.00"
3,2566,มกราคม,กรมประชาสัมพันธ์,อาคาร กปส.,88016102,กรมประชาสัมพันธ์,"1,104,695.61",
4,2566,มกราคม,สนข.,สำนักข่าว,23056498,สถานี T.V.,"251,808.08","43,000.00"
5,2566,มกราคม,สวท. (ส่วนกลาง),837 KHz 10 Kw. เมือง ปทุมธานี,20000965367,สถานี A.M.,"64,992.86",
6,2566,มกราคม,สวท. (ส่วนกลาง),891 KHz 10 Kw. คลองหลวง ปทุมธานี,20001021154,สถานี A.M.,"80,378.58",
7,2566,มกราคม,สวท. (ส่วนกลาง),1467 KHz 100 Kw. คลองห้า ปทุมธานี,20001022723,สถานี A.M.,"395,658.43",
8,2566,มกราคม,สปข.3,อาคารส่วนเทคนิค,9070 020004491756,อื่น ๆ,"4,439.52",703.00
9,2566,มกราคม,สปข.3,สทท.เชียงใหม่ และ สปข.3,9820 020004481266,สำนักประชาสัมพันธ์เขต,"200,167.47","33,490.02"
10,2566,มกราคม,สปข.3,สวท.เชียงใหม่,9322 020004478528,สถานี F.M.,"30,612.77","5,379.98"
11,2566,มกราคม,สปข.3,สวท.เชียงราย,9813 020005934803,สถานี F.M.,"17,818.54","2,993.99"
12,2566,มกราคม,สปข.3,สวท.ลำพูน,9816 020004565451,สถานี A.M. และ F.M.,"36,936.43","6,604.00"
13,2566,มกราคม,สปข.3,สวท.ลำปาง,9103 020005125126,สถานี F.M.,"23,471.57","3,962.00"
14,2566,มกราคม,สปข.3,สวท.แพร่,9802 020010258747,สถานี F.M.,"12,615.30","2,103.00"
15,2566,มกราคม,สปข.3,สวท.น่าน ห้องส่ง,9004 020009497249,สถานี F.M.,"23,140.49","3,915.83"
16,2566,มกราคม,สปข.3,สวท.น่าน เครื่องส่ง,9810 020009531604,สถานี F.M.,"1,223.17",90.78
17,2566,มกราคม,สปข.3,สวท.น่าน โรงสูบน้ำ,0116 020009699672,สถานี F.M.,138.29,20.00
18,2566,มกราคม,สปข.3,สวท.พะเยา,0046 020005688352,สถานี F.M.,"25,503.84","4,310.00"
19,2566,มกราคม,สปข.3,สวท.แม่ฮ่องสอน,9801 020005117860,สถานี F.M.,"14,741.00","2,467.00"
20,2566,มกราคม,สปข.3,สวท.แม่สะเรียง ห้องส่ง,9039 020005015968,สถานี F.M.,"10,600.53","1,758.00"
21,2566,มกราคม,สปข.3,สวท.แม่สะเรียง เครื่องส่ง,9036 020005002855,สถานี F.M.,"10,507.12","1,742.00"
22,2566,มกราคม,สปข.3,สวท.ฝาง,9303 020005427433,สถานี F.M.,"39,324.42","6,676.60"
23,2566,มกราคม,สปข.3,สวศ.ลำปาง,9817 020005263217,สถานี A.M.,"448,033.36","81,336.01"
24,2566,มกราคม,สปข.3,สวศ. แม่ฮ่องสอน ห้องส่ง,9074 020005115018,สถานี A.M.,"1,210.08",150.00
25,2566,มกราคม,สปข.3,สวศ. แม่ฮ่องสอน เครื่องส่ง,9806 020005061044,สถานีเครื่องส่งวิทยุ,334.10,0.00
26,2566,มกราคม,สปข.3,สคท.เชียงใหม่,9327 020004499744,สถานี T.V.,"77,744.91","14,280.00"
27,2566,มกราคม,สปข.3,สคท.เชียงราย,9825 020005862041,สถานี T.V.,"65,389.99","11,140.00"
28,2566,มกราคม,สปข.3,สคท.ลำปาง,9806 020004897059,สถานี T.V.,"21,758.74","3,668.70"
29,2566,มกราคม,สปข.3,สคท.แพร่,9804 020009635050,สถานี T.V.,"44,819.72","7,617.60"
30,2566,มกราคม,สปข.3,สคท.น่าน,9811 020009589272,สถานี T.V.,"54,349.75","9,249.50"
31,2566,มกราคม,สปข.3,สคท.แม่ฮ่องสอน ห้วยนางปุ๊,9805 020005171674,สถานี T.V.,"62,065.35","10,570.70"
32,2566,มกราคม,สปข.3,สคท.แม่ฮ่องสอน ดอยกองมู,0006 020004663073,สถานี T.V.,"15,418.41","2,583.00"
33,2566,มกราคม,สปข.4,สคท.ตาก,9804 020010315402,สถานี T.V. และ สถานีF.M.,"60,589.63","10,318.00"
34,2566,มกราคม,สปข.4,สวท.สุโขทัย,27695760,สถานี F.M.,"20,799.84","4,504.50"
35,2566,มกราคม,สปข.4,สวท.กำแพงเพชร,9089 020009497880,สถานี F.M.,"24,748.17","4,180.60"
36,2566,มกราคม,สปข.4,สวท.พิษณุโลก,6000548499,สถานี A.M. และ F.M.,"117,760.53","21,068.00"
37,2566,มกราคม,สปข.4,สคท.นครสวรรค์,9806 020006256640,สถานี T.V. และ F.M.,"63,799.00","10,867.00"
38,2566,มกราคม,สปข.4,สวท.กำแพงเพชร,9089 020009497880,สถานี F.M.,"24,748.17","4,180.60"
39,2566,มกราคม,สปข.4,สปข.4 (สำนักงานเขต),6300409812,สำนักประชาสัมพันธ์เขต,"119,438.51","20,163.00"
40,2566,มกราคม,สปข.4,สวท.เพชรบูรณ์,23067939,สถานี F.M.,"20,607.72","3,436.89"
41,2566,มกราคม,สปข.4,สคท.เพชรบูรณ์,23607940,สถานี T.V.,"21,765.75","3,669.90"
42,2566,มกราคม,สปข.4,สวท.อุตรดิตถ์,9829 020009678672,สถานี F.M.,"33,225.23","5,632.19"
43,2566,มกราคม,สปข.4,สวท.นครสวรรค์,27708906,สถานี F.M.,"15,696.41","4,075.33"
44,2566,มกราคม,สปข.4,สวท.ตาก,9803 020010392863,สถานี A.M. และ F.M.,"58,291.13","10,430.28"
45,2566,มกราคม,สปข.4,สวท.แม่สอด F.M.,6000172855,สถานี F.M.,"89,942.50","16,432.68"
46,2566,มกราคม,สปข.5,สวท.ระนอง,6000550039,สถานี A.M. และ F.M.,"63,931.36","11,457.26"
47,2566,มกราคม,สปข.5,"สทท.,สวท.สุราษฎร์ธานี",923020008767996,สถานี T.V.,"175,129.00","29,243.00"
48,2566,มกราคม,สปข.5,สวท.ทุ่งสง,9044 020009051110,สถานี F.M.,"11,818.15","1,966.60"
49,2566,มกราคม,สปข.5,"สทท.,สวท.สุราษฎร์ธานี",204175,สถานี T.V.,"70,241.00","14,516.00"
50,2566,มกราคม,สปข.5,สวท.นครศรีธรรมราช,9011 020008910024,สถานี F.M.,"29,945.00","5,070.00"
51,2566,มกราคม,สปข.5,สวท.ภูเก็ต,9386173,สถานี A.M. และ F.M.,"45,852.78","7,794.50"
52,2566,มกราคม,สปข.5,"สทท.,สวท.สุราษฎร์ธานี",204175,สถานี T.V.,"84,986.00","15,618.00"
53,2566,มกราคม,สปข.5,สทท.นครศรีธรรมราช,9810020009114018,สถานี T.V.,"105,004.28","17,792.00"
54,2566,มกราคม,สปข.5,สวท.สมุย (กสท.),8598894,สถานี F.M.,"3,909.78",609.00
55,2566,มกราคม,สปข.5,สคท.ตะกั่วป่า,29229069,สถานี T.V.,"10,985.97","1,824.00"
56,2566,มกราคม,สปข.5,สวท.ตะกั่วป่า,27696482,สถานี F.M.,"12,980.28","2,165.50"
57,2566,มกราคม,สปข.5,สวท.กระบี่,27693100,สถานี F.M.,"89,122.84","16,351.47"
58,2566,มกราคม,สปข.5,สวท.สมุย,20009418557,สถานี F.M.,"12,110.74","2,016.60"
59,2566,มกราคม,สปข.7,สวท.ตราด,8742222,สถานี F.M.,"31,989.72","5,453.32"
60,2566,มกราคม,สปข.8,สปข.8 (สำนักงานเขต),23050191,สำนักประชาสัมพันธ์เขต,"124,637.92","20,432.00"
61,2566,มกราคม,สปข.8,สคท.กาญจนบุรี,24409713,สถานี T.V.,"31,578.44","5,350.20"
62,2566,มกราคม,สปข.8,สคท.ทองผาภูมิ,6201223474,สถานี T.V.,"34,413.09","5,835.60"
63,2566,มกราคม,สปข.8,สวท.ชัยนาท-อาคารห้องส่ง,27709281,สถานี F.M.,"12,085.63","2,012.30"
64,2566,มกราคม,สปข.8,สวท.ชัยนาท-อาคารเครื่องส่ง,29159301,สถานี F.M.,"59,818.77","10,186.00"
65,2566,มกราคม,สปข.8,สวท.สุพรรณบุรี,27701584,สถานี F.M.,"62,165.35","11,186.78"
66,2566,มกราคม,สปข.8,สวท.กาญจนบุรี,27696591,สถานี A.M.,"70,962.10","12,824.92"
67,2566,มกราคม,สปข.8,สวท.สังขละบุรี,8748127,สถานี F.M.,"90,113.99","16,634.10"
68,2566,มกราคม,สปข.8,สวท.ราชบุรี,6001705431,สถานี A.M.,"50,414.87","9,091.57"
69,2566,มกราคม,สปข.8,สวท.เพชรบุรี-อาคารห้องส่ง,27672463,สถานี F.M.,"11,554.19","1,921.30"
70,2566,มกราคม,สปข.8,สวท.เพชรบุรี-อาคารเครื่องส่ง,5900799250,สถานี F.M.,"49,585.02","8,433.60"
71,2566,มกราคม,สปข.8,สวท.ประจวบคีรีขันธ์,6001704633,สถานี F.M.,"42,756.48","7,264.30"
72,2566,มกราคม,สปข.5,สวศ.สุราษฎร์ธานี,981402000909580,สถานี A.M.,"236,528.30","42,780.00"
73,2566,มกราคม,สปข.5,สวศ.ระนอง (เครื่องส่ง),9803020004448629,สถานี T.V.,"26,238.63","6,148.20"
74,2566,มกราคม,สปข.5,สคท.กระบี่ (ปลายพระยา),9039020021162589,สถานี T.V.,"83,367.95","14,218.50"
75,2566,มกราคม,สปข.5,สวท.ตะกั่วป่า (เขาหลัก),0063 020008920828,สถานี F.M.,,
76,2566,มกราคม,สปข.5,สคท.ภูเก็ต,9812 020008737489,สถานี T.V.,"58,481.44","9,957.00"
77,2566,มกราคม,สปข.5,สทท.ภูเก็ต (อาคารใหม่),9022 020018750130,สถานี T.V.,"66,589.00","10,421.95"
78,2566,มกราคม,สปข.5,สทท.ภูเก็ต (อาคารชั่วคราว),9026 020017844822,สถานี T.V.,,
79,2566,มกราคม,สปข.5,สคท.ชุมพร,9071 020003812559,สถานี T.V.,"23,049.92","3,889.60"
80,2566,มกราคม,สปข.5,สคท.ระนอง,9802 020004447908,สถานี T.V.,"2,598.20",387.70
81,2566,มกราคม,สปข.5,สคท.ทุ่งสง,9801 020008979283,สถานี T.V.,"39,441.21","6,696.60"
82,2566,มกราคม,สปข.5,สคท.เขาท่าเพชร,9813 020009046372,สถานี T.V.,"175,129.80","29,243.00"
83,2566,มกราคม,สปข.5,สวท.ตะกั่วป่า (เขาหลัก),0063 020008920828,สถานี F.M.,,
84,2566,มกราคม,สปข.5,สวท.พังงา(เครื่องส่งเอฟเอ็ม),9805 020008428216,สถานี F.M.,"77,894.13","14,517.15"
85,2566,มกราคม,สปข.5,สวท.กระบี่ (เครื่องส่งเอเอ็ม),9042 020020512838,สถานี A.M.,,
86,2566,มกราคม,สทท. (ส่วนกลาง),สถานีวิทยุโทรทัศน์แห่งประเทศไทย,87099601,สถานี T.V.,"1,333,309.43","240,000.00"
87,2566,กุมภาพันธ์,สปข.5,สวท.ระนอง,6000550039,สถานี A.M. และ F.M.,"58,482.20","10,351.14"
88,2566,กุมภาพันธ์,สปข.3,สวท.พะเยา,5800022382,สถานี F.M.,"25,352.00","4,284.00"
89,2566,กุมภาพันธ์,สปข.4,สวท.แม่สอด F.M.,6000172855,สถานี F.M.,"87,944.00","15,888.32"
90,2566,กุมภาพันธ์,สปข.5,สวท.ทุ่งสง,9044 020009051110,สถานี F.M.,"12,358.33","2,059.80"
91,2566,กุมภาพันธ์,สปข.3,สวท.ลำปาง,23066453,สถานี F.M.,"20,576.17","3,466.20"
92,2566,กุมภาพันธ์,สปข.3,สวท.ลำปาง,556457,สถานี F.M.,"21,988.24","3,708.00"
93,2566,กุมภาพันธ์,สปข.3,สคท.ลำปาง,23066453,สถานี F.M.,"20,576.17","3,466.20"
94,2566,กุมภาพันธ์,สปข.4,สคท.นครสวรรค์,9806 020006256640,สถานี T.V. และสถานี F.M.,"58,236.16","9,915.00"
95,2566,กุมภาพันธ์,สปข.4,สคท.ตาก,9804 020010315402  ,สถานี T.V. และสถานี F.M.,"57,313.47","9,757.00"
96,2566,มกราคม,สปข.7,สปข.7 (สำนักงานเขต),020001965577,สำนักประชาสัมพันธ์เขต,"148,172.37","23,220.00"
97,2566,มกราคม,สปข.7,สคท.ตราด,20002484380,สถานี T.V.,"41,651.01","7,075.00"
98,2566,มกราคม,สปข.7,สคท.ระยอง,6500728234,สถานี T.V.,"71,484.44","12,183.60"
99,2566,มกราคม,สปข.7,สคท.สระแก้ว,20000963642,สถานี T.V.,"1,984.43",282.60
100,2566,มกราคม,สปข.7,สวท.จันทบุรี,18314581,สถานี F.M.,"33,107.31","5,612.00"
101,2566,มกราคม,สปข.7,สวท.จันทบุรี,5900796957,สถานี A.M.,"112,559.29","20,374.00"
102,2566,มกราคม,สปข.7,สวท.ตราด,20002274503,สถานี F.M.,"31,987.72","5,453.32"
103,2566,มกราคม,สปข.7,สวท.ตราด,020002234872,สถานี A.M.,897.07,149.34
104,2566,มกราคม,สปข.7,สวท.ระยอง,230763,สถานี F.M.,"14,627.94","3,102.50"
105,2566,มกราคม,สปข.7,สวท.สระแก้ว,395166,สถานี F.M.,"18,548.58","3,119.00"
106,2566,มกราคม,สปข.7,สวท.ชลบุรี,8741998,สถานี F.M.,"13,637.85","2,278.10"
107,2566,มกราคม,สปข.7,สวท.ชลบุรี (เขาฉลาก),6201316652,สถานี F.M.,"16,561.34","2,265.00"
